ts,power,current,voltage,kwh
2025-11-07T10:27:30+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:28:33+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:28:36+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:29:33+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:29:36+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:30:34+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:30:36+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:31:33+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:31:36+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:32:35+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:32:36+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:33:33+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:33:37+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:34:33+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:34:36+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:35:33+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:35:36+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:36:33+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:36:36+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:37:33+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:37:36+00:00,400.3,1.875,211.9,0.006671666666666667
2025-11-07T10:38:33+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:38:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:39:33+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:39:37+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:40:33+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:40:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:41:33+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:41:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:42:33+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:42:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:43:33+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:43:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:44:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:44:37+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:45:34+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:45:38+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:46:34+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:46:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:47:35+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:47:45+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:48:34+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:48:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:49:33+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:49:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:50:34+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:50:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:51:34+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:51:37+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:52:35+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:52:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:53:33+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:53:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:54:34+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:54:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:55:35+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:55:38+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:56:33+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:56:36+00:00,87.5,0.409,211.1,0.0014583333333333332
2025-11-07T10:57:33+00:00,89.0,0.438,211.5,0.0014833333333333335
2025-11-07T10:57:36+00:00,89.0,0.438,211.5,0.0014833333333333335
2025-11-07T10:58:33+00:00,68.2,0.354,215.6,0.0011366666666666667
2025-11-07T10:58:36+00:00,68.2,0.354,215.6,0.0011366666666666667
2025-11-07T10:59:33+00:00,68.2,0.354,215.6,0.0011366666666666667
2025-11-07T10:59:36+00:00,68.2,0.354,215.6,0.0011366666666666667
2025-11-07T14:17:38+00:00,106.6,0.426,204.7,0.0017766666666666666
2025-11-07T14:17:41+00:00,106.6,0.426,204.7,0.0017766666666666666
2025-11-07T14:18:38+00:00,106.6,0.426,204.7,0.0017766666666666666
2025-11-07T14:18:41+00:00,106.6,0.426,204.7,0.0017766666666666666
2025-11-07T14:19:38+00:00,113.1,0.568,204.0,0.0018849999999999997
2025-11-07T14:19:41+00:00,72.8,0.374,204.0,0.0012133333333333334
2025-11-07T14:20:38+00:00,75.1,0.382,203.3,0.0012516666666666666
2025-11-07T14:20:41+00:00,75.1,0.382,203.3,0.0012516666666666666
2025-11-07T14:21:38+00:00,75.1,0.382,203.3,0.0012516666666666666
2025-11-07T14:21:41+00:00,75.1,0.382,203.3,0.0012516666666666666
2025-11-07T14:22:38+00:00,75.1,0.382,203.3,0.0012516666666666666
2025-11-07T14:22:41+00:00,75.1,0.382,203.3,0.0012516666666666666
2025-11-07T14:23:38+00:00,75.1,0.382,203.3,0.0012516666666666666
2025-11-07T14:23:41+00:00,75.1,0.382,203.3,0.0012516666666666666
2025-11-07T14:24:38+00:00,75.1,0.382,203.3,0.0012516666666666666
2025-11-07T14:24:41+00:00,75.1,0.382,203.3,0.0012516666666666666
2025-11-07T14:25:38+00:00,75.1,0.382,203.3,0.0012516666666666666
2025-11-07T14:25:41+00:00,75.1,0.382,203.3,0.0012516666666666666
2025-11-07T14:26:38+00:00,75.1,0.382,203.3,0.0012516666666666666
